Trial,PriorRate,StartYear,P1rate,P2Rate,PostRate,Spruce_estab_cost,Fir_estab_cost,Beech_estab_cost,UncertaintyFactor,Wood_C,Spruce_area,Fir_area,Beech_area,Total_timber,Salvaged_timber,Average_standing_timber,Shannon,DCF,SEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.005,20,-0.005,-0.005,0.0005,-2000,-2000,-3000,3,68.02703729,0.358725575,0.453258633,0.188115792,886.7889251,67.40476362,265.4560605,3.357882413,20631.33722,693829.1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.005,20,-0.01,-0.01,0.0005,-2000,-2000,-3000,3,67.71356295,0.359123505,0.450791667,0.190184827,883.3279064,67.70990455,266.2537988,3.359971853,20491.49446,849226.6979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.005,20,-0.02,-0.02,0.0005,-2000,-2000,-3000,3,67.35839772,0.361659295,0.446920389,0.191420316,883.4489834,66.98911958,264.0853628,3.362327652,20404.63572,1277476.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.005,20,-0.03,-0.03,0.0005,-2000,-2000,-3000,3,67.26943709,0.358940392,0.440184251,0.200975357,878.9680777,67.09394086,262.2808092,3.370644833,20333.64479,1920302.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.005,20,-0.04,-0.04,0.0005,-2000,-2000,-3000,3,67.31256997,0.363972265,0.442386908,0.193740828,882.6838897,67.50728632,263.8149717,3.365098096,20359.60059,2926881.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.005,20,-0.05,-0.05,0.0005,-2000,-2000,-3000,3,66.72083657,0.364781022,0.438687933,0.196631045,879.6584184,66.85495774,262.6081469,3.36858607,20176.31221,4445843.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.005,20,-0.06,-0.06,0.0005,-2000,-2000,-3000,3,66.73534852,0.365055211,0.436708163,0.198336625,878.7235885,66.80275012,262.0978869,3.369784512,20189.74315,6791997.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.02,20,0.02,0.02,0.02,-2000,-2000,-3000,2,72.33603802,0.447693781,0.511220692,0.041185527,905.2253466,79.51235852,252.7327102,2.942198644,23755.55,4451.705939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.015,20,0.015,0.015,0.015,-2000,-2000,-3000,2,75.29379109,0.423583607,0.511201151,0.065315243,888.7586263,82.01626848,261.5413793,3.04295773,24359.63522,8345.205235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.01,20,0.01,0.01,0.01,-2000,-2000,-3000,2,75.41241451,0.411923886,0.507527671,0.080648442,872.9328345,84.21131408,266.6465487,3.103140744,24208.50942,16882.09879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.005,20,0.005,0.005,0.005,-2000,-2000,-3000,2,83.41325817,0.406673462,0.487425671,0.106000869,965.4259124,91.09381554,296.8939916,3.195453241,26585.49706,49779.02706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.015,20,-0.005,-0.005,0.015,-2000,-2000,-3000,2,70.95754068,0.427711772,0.503077367,0.069310861,877.6812469,78.08395648,256.065996,3.100459042,22824.54435,15747.26715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.015,20,-0.01,-0.01,0.015,-2000,-2000,-3000,2,76.57582036,0.426233882,0.495925976,0.077940142,980.3818712,81.36021609,280.3560787,3.158550157,24759.35933,21308.20361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.015,20,-0.02,-0.02,0.015,-2000,-2000,-3000,2,73.09961304,0.434645895,0.484831349,0.080622756,971.3838559,77.55155577,276.088774,3.183294513,23503.47991,29516.93269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.015,20,-0.03,-0.03,0.015,-2000,-2000,-3000,2,68.09674344,0.437592163,0.482420161,0.079987676,956.0677809,72.3201623,272.6434951,3.203501311,21769.96228,41455.66293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.015,20,-0.04,-0.04,0.015,-2000,-2000,-3000,2,62.68759349,0.441663625,0.4782492,0.080187175,937.9774136,66.57021548,269.4826796,3.211522722,19868.76433,59187.71433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
